-122.04184380000001,37.1331477,-122.05384380000001,37.1211477
-122.04184380000001,37.1451477,-122.05384380000001,37.1331477
-122.04184380000001,37.1571477,-122.05384380000001,37.1451477
-122.04184380000001,37.1691477,-122.05384380000001,37.1571477
-122.04184380000001,37.181147700000004,-122.05384380000001,37.1691477
-122.04184380000001,37.1931477,-122.05384380000001,37.1811477
-122.04184380000001,37.2051477,-122.05384380000001,37.1931477
-122.04184380000001,37.2171477,-122.05384380000001,37.2051477
-122.04184380000001,37.2291477,-122.05384380000001,37.2171477
-122.04184380000001,37.2411477,-122.05384380000001,37.2291477
-122.04184380000001,37.2531477,-122.05384380000001,37.2411477
-122.04184380000001,37.2651477,-122.05384380000001,37.2531477
-122.04184380000001,37.2771477,-122.05384380000001,37.2651477
-122.04184380000001,37.2891477,-122.05384380000001,37.2771477
-122.04184380000001,37.3011477,-122.05384380000001,37.2891477
-122.04184380000001,37.3131477,-122.05384380000001,37.3011477
-122.04184380000001,37.3251477,-122.05384380000001,37.3131477
-122.04184380000001,37.3371477,-122.05384380000001,37.3251477
-122.04184380000001,37.3491477,-122.05384380000001,37.3371477
-122.04184380000001,37.361147700000004,-122.05384380000001,37.3491477
-122.04184380000001,37.373147700000004,-122.05384380000001,37.361147700000004
-122.04184380000001,37.3851477,-122.05384380000001,37.3731477
-122.04184380000001,37.3971477,-122.05384380000001,37.3851477
-122.04184380000001,37.4091477,-122.05384380000001,37.3971477
-122.04184380000001,37.4211477,-122.05384380000001,37.4091477
-122.04184380000001,37.4331477,-122.05384380000001,37.4211477
-122.04184380000001,37.4451477,-122.05384380000001,37.4331477
-122.04184380000001,37.4571477,-122.05384380000001,37.4451477
-122.04184380000001,37.4691477,-122.05384380000001,37.4571477
-122.02984380000001,37.1331477,-122.04184380000001,37.1211477
-122.02984380000001,37.1451477,-122.04184380000001,37.1331477
-122.02984380000001,37.1571477,-122.04184380000001,37.1451477
-122.02984380000001,37.1691477,-122.04184380000001,37.1571477
-122.02984380000001,37.181147700000004,-122.04184380000001,37.1691477
-122.02984380000001,37.1931477,-122.04184380000001,37.1811477
-122.02984380000001,37.2051477,-122.04184380000001,37.1931477
-122.02984380000001,37.2171477,-122.04184380000001,37.2051477
-122.02984380000001,37.2291477,-122.04184380000001,37.2171477
-122.02984380000001,37.2411477,-122.04184380000001,37.2291477
-122.02984380000001,37.2531477,-122.04184380000001,37.2411477
-122.02984380000001,37.2651477,-122.04184380000001,37.2531477
-122.02984380000001,37.2771477,-122.04184380000001,37.2651477
-122.02984380000001,37.2891477,-122.04184380000001,37.2771477
-122.02984380000001,37.3251477,-122.04184380000001,37.3131477
-122.02984380000001,37.3371477,-122.04184380000001,37.3251477
-122.02984380000001,37.3491477,-122.04184380000001,37.3371477
-122.02984380000001,37.361147700000004,-122.04184380000001,37.3491477
-122.02984380000001,37.373147700000004,-122.04184380000001,37.361147700000004
-122.02984380000001,37.3851477,-122.04184380000001,37.3731477
-122.02984380000001,37.3971477,-122.04184380000001,37.3851477
-122.02984380000001,37.4091477,-122.04184380000001,37.3971477
-122.02984380000001,37.4211477,-122.04184380000001,37.4091477
-122.02984380000001,37.4331477,-122.04184380000001,37.4211477
-122.02984380000001,37.4451477,-122.04184380000001,37.4331477
-122.02984380000001,37.4571477,-122.04184380000001,37.4451477
-122.02984380000001,37.4691477,-122.04184380000001,37.4571477
-122.01784380000001,37.1331477,-122.02984380000001,37.1211477
-122.01784380000001,37.1451477,-122.02984380000001,37.1331477
-122.01784380000001,37.1571477,-122.02984380000001,37.1451477
-122.01784380000001,37.1691477,-122.02984380000001,37.1571477
-122.01784380000001,37.181147700000004,-122.02984380000001,37.1691477
-122.01784380000001,37.1931477,-122.02984380000001,37.1811477
-122.01784380000001,37.2051477,-122.02984380000001,37.1931477
-122.01784380000001,37.2171477,-122.02984380000001,37.2051477
-122.01784380000001,37.2291477,-122.02984380000001,37.2171477
-122.01784380000001,37.2411477,-122.02984380000001,37.2291477
-122.01784380000001,37.2531477,-122.02984380000001,37.2411477
-122.01784380000001,37.2651477,-122.02984380000001,37.2531477
-122.01784380000001,37.2771477,-122.02984380000001,37.2651477
-122.01784380000001,37.2891477,-122.02984380000001,37.2771477
-122.01784380000001,37.3251477,-122.02984380000001,37.3131477
-122.01784380000001,37.3371477,-122.02984380000001,37.3251477
-122.01784380000001,37.3491477,-122.02984380000001,37.3371477
-122.01784380000001,37.361147700000004,-122.02984380000001,37.3491477
-122.01784380000001,37.373147700000004,-122.02984380000001,37.361147700000004
-122.01784380000001,37.3851477,-122.02984380000001,37.3731477
-122.01784380000001,37.3971477,-122.02984380000001,37.3851477
-122.01784380000001,37.4091477,-122.02984380000001,37.3971477
-122.01784380000001,37.4211477,-122.02984380000001,37.4091477
-122.01784380000001,37.4331477,-122.02984380000001,37.4211477
-122.01784380000001,37.4451477,-122.02984380000001,37.4331477
-122.01784380000001,37.4571477,-122.02984380000001,37.4451477
-122.01784380000001,37.4691477,-122.02984380000001,37.4571477
-122.00584380000001,37.1331477,-122.01784380000001,37.1211477
-122.00584380000001,37.1451477,-122.01784380000001,37.1331477
-122.00584380000001,37.1571477,-122.01784380000001,37.1451477
-122.00584380000001,37.1691477,-122.01784380000001,37.1571477
-122.00584380000001,37.181147700000004,-122.01784380000001,37.1691477
-122.00584380000001,37.1931477,-122.01784380000001,37.1811477
-122.00584380000001,37.2051477,-122.01784380000001,37.1931477
-122.00584380000001,37.2171477,-122.01784380000001,37.2051477
-122.00584380000001,37.2291477,-122.01784380000001,37.2171477
-122.00584380000001,37.2411477,-122.01784380000001,37.2291477
-122.00584380000001,37.2531477,-122.01784380000001,37.2411477
-122.00584380000001,37.2651477,-122.01784380000001,37.2531477
-122.00584380000001,37.2771477,-122.01784380000001,37.2651477
-122.00584380000001,37.2891477,-122.01784380000001,37.2771477
-122.00584380000001,37.3251477,-122.01784380000001,37.3131477
-122.00584380000001,37.3371477,-122.01784380000001,37.3251477
-122.00584380000001,37.3491477,-122.01784380000001,37.3371477
-122.00584380000001,37.361147700000004,-122.01784380000001,37.3491477
