lat,lon,sz,names,len_cat,street,street_nodes,street_id,node_id,source_city,source_city_id
43.8317944,-79.4395298,2,Hunter's Point Drive (057),a,Hunter's Point Drive,33,15729456,328453057,Richmond Hill,37878
43.8318237,-79.4546501,2,Bathurst Street (734),a,Bathurst Street,329,5446829,95472734,Richmond Hill,37878
43.831831,-79.4423083,2,Old Langstaff Road (855),a,Old Langstaff Road,11,5447150,328449855,Richmond Hill,37878
43.8318315,-79.4393503,2,Highway 7 (309),a,Highway 7,249,5446603,328453309,Richmond Hill,37878
43.8318624,-79.4395536,2,Hunter's Point Drive (058),a,Hunter's Point Drive,33,15729456,328453058,Richmond Hill,37878
43.8318624,-79.4395536,2,Hunter's Point Drive (996),a,Hunter's Point Drive,33,15729456,328453996,Richmond Hill,37878
43.8318885,-79.4546673,2,Bathurst Street (736),a,Bathurst Street,329,5446829,95472736,Richmond Hill,37878
43.8318885,-79.4546673,2,Bathurst Street (802),a,Bathurst Street,329,5446829,95472802,Richmond Hill,37878
43.8318962,-79.4419687,2,Misty Moor Drive (045),a,Misty Moor Drive,14,5446868,95988045,Richmond Hill,37878
43.8318962,-79.4419687,2,Old Langstaff Road (856),a,Old Langstaff Road,11,5447150,328449856,Richmond Hill,37878
43.8319102,-79.4397413,2,Highway 7 (755),a,Highway 7,249,5446603,92701755,Richmond Hill,37878
43.8319429,-79.4395818,2,Highway 7 (742),a,Highway 7,249,5446603,92701742,Richmond Hill,37878
43.8319429,-79.4395818,2,Highway 7 (753),a,Highway 7,249,5446603,92701753,Richmond Hill,37878
43.8319429,-79.4395818,2,Hunter's Point Drive (321),a,Hunter's Point Drive,33,15729456,328453321,Richmond Hill,37878
43.8319429,-79.4395818,2,Hunter's Point Drive (997),a,Hunter's Point Drive,33,15729456,328453997,Richmond Hill,37878
43.8319775,-79.4394097,2,Highway 7 (305),a,Highway 7,249,5446603,328453305,Richmond Hill,37878
43.8319801,-79.441986,2,Misty Moor Drive (050),a,Misty Moor Drive,14,5446868,95988050,Richmond Hill,37878
43.8319948,-79.4546946,2,Bathurst Street (421),a,Bathurst Street,329,5446829,328453421,Richmond Hill,37878
43.8319948,-79.4546946,2,Bathurst Street (003),a,Bathurst Street,329,5446829,328454003,Richmond Hill,37878
43.832053,-79.4396245,2,Hunter's Point Drive (322),a,Hunter's Point Drive,33,15729456,328453322,Richmond Hill,37878
43.8320602,-79.4420212,2,Misty Moor Drive (052),a,Misty Moor Drive,14,5446868,95988052,Richmond Hill,37878
43.8321084,-79.4547252,2,Bathurst Street (777),a,Bathurst Street,329,5446829,95472777,Richmond Hill,37878
43.8321084,-79.4547252,2,Bathurst Street (655),a,Bathurst Street,329,5446829,579525655,Richmond Hill,37878
43.8321316,-79.4407787,2,Old Langstaff Road (857),a,Old Langstaff Road,11,5447150,328449857,Richmond Hill,37878
43.8322321,-79.45476,2,Bathurst Street (287),a,Bathurst Street,329,5446829,328453287,Richmond Hill,37878
43.8322793,-79.4379103,2,Highway 7 (492),a,Highway 7,249,5446603,92701492,Richmond Hill,37878
43.8322793,-79.4379103,2,Highway 7 (739),a,Highway 7,249,5446603,92701739,Richmond Hill,37878
43.832363,-79.4424362,2,Misty Moor Drive (054),a,Misty Moor Drive,14,5446868,95988054,Richmond Hill,37878
