lat,lon,sz,names,len_cat,street,street_nodes,street_id,node_id,source_city,source_city_id
44.3359721,-76.1526158,2,King Street East (153),a,King Street East,105,11393866,221448153,Gananoque,132393
44.3359721,-76.1526158,2,Wilson Drive (025),a,Wilson Drive,11,11393876,221449025,Gananoque,132393
44.3359745,-76.1743331,2,Nalon Road (564),a,Nalon Road,20,11393899,221450564,Gananoque,132393
44.3360278,-76.1580729,2,North Street (033),a,North Street,22,11393843,221446033,Gananoque,132393
44.3360326,-76.1525215,2,King Street East (788),a,King Street East,105,11393866,556101788,Gananoque,132393
44.3360349,-76.1526929,2,Wilson Drive (006),a,Wilson Drive,11,11393876,572680006,Gananoque,132393
44.3360455,-76.1456925,2,King Street East (124),a,King Street East,105,11393866,221448124,Gananoque,132393
44.3360498,-76.1543445,2,Talbot Place (506),a,Talbot Place,10,11393911,221451506,Gananoque,132393
44.3360702,-76.160425,2,James Street North (277),a,James Street North,19,11393838,296331277,Gananoque,132393
44.3360755,-76.1743956,2,Nalon Road (563),a,Nalon Road,20,11393899,221450563,Gananoque,132393
44.3360896,-76.1527601,2,Wilson Drive (024),a,Wilson Drive,11,11393876,221449024,Gananoque,132393
44.3361071,-76.1524054,2,King Street East (782),a,King Street East,105,11393866,556101782,Gananoque,132393
44.3361275,-76.1541782,2,Talbot Place (507),a,Talbot Place,10,11393911,221451507,Gananoque,132393
44.3361713,-76.1605515,2,James Street North (314),a,James Street North,19,11393838,221445314,Gananoque,132393
44.3361766,-76.1528186,2,Wilson Drive (023),a,Wilson Drive,11,11393876,221449023,Gananoque,132393
44.3361992,-76.1744782,2,Nalon Road (562),a,Nalon Road,20,11393899,221450562,Gananoque,132393
44.3362005,-76.1522599,2,King Street East (787),a,King Street East,105,11393866,556101787,Gananoque,132393
44.3362116,-76.1528298,2,Wilson Drive (007),a,Wilson Drive,11,11393876,572680007,Gananoque,132393
44.3362646,-76.1536968,2,Talbot Place (508),a,Talbot Place,10,11393911,221451508,Gananoque,132393
44.3362816,-76.1521336,2,King Street East (786),a,King Street East,105,11393866,556101786,Gananoque,132393
44.3362915,-76.1535436,2,Talbot Place (509),a,Talbot Place,10,11393911,221451509,Gananoque,132393
44.3363071,-76.1534542,2,Talbot Place (511),a,Talbot Place,10,11393911,221451511,Gananoque,132393
